Id;Title;Code;RoomTypeId
1;Вход;0;1
2;Регистратура;1;2
5;Комната утилизации медицинских расходов;2;3
6;Служебный туалет;3;3
7;Заведующая отделением;4;3
8;Главная медицинская сестра;5;3
9;Кабинет гигиены полости рта;6;2
10;Терапевтический кабинет;7;2
11;Терапевтический кабинет;8;2
12;Компьютерная;9;3
13;Гардеробная песонала;10;3
14;Бухгалтерия;11;3
15;Хирургический кабинет;12;2
16;Экономисты;13;3
17;Физиотерапевтический кабинет;14;2
18;Стоматологический кабинет;15;2
20;Заведующая хозяйством Специалист ОТ;16;3
21;Стерилизационная;17;2
22;Архив;18;3
24;Главный врач;19;3
25;Комната приёма пищи;20;3
26;Терапевтический кабинет;21;2
27;Санитарная комната;22;2
28;Общий туалет;23;1
